Cell_ID,Cell_Type,Disease_Status,Gene_E_Housekeeping,Gene_A_Oncogene,Gene_B_Immune,Gene_C_Stromal,Gene_D_Therapy,Pathway_Score_Inflam,UMAP_1
C0001,T_Cell,Tumor,5.56586646474444,4.546473565500696,10.532534774095893,2.1132846830287226,0.9511382805483903,9.580415468665532,7.818136525413636
C0002,T_Cell,Tumor,5.351162613455262,3.840752428431746,10.642705152307844,4.361617980187911,0.9524544850595031,10.540695057502663,8.298276543589058
C0003,T_Cell,Tumor,4.935362870910167,2.2716159057334404,10.38973583965663,2.8399261607473036,1.906194426838352,8.416974995034229,7.158779489548284
C0004,Cancer,Tumor,4.095084304640076,14.881376520463427,3.2682365097976556,3.2042841824401114,9.922545951325496,7.357784621526096,0.016234063801744636
C0005,Fibroblast,Tumor,4.669714583382264,5.444694475169771,2.5612984316891523,14.046708312962501,3.1265526005993083,3.3724070575110754,11.646390684296595
C0006,T_Cell,Tumor,5.337246416552818,2.565555745919457,11.92776850998376,3.885347082217241,3.297554444882979,11.167014018093969,7.1477493517720525
C0007,T_Cell,Healthy_Control,5.116159819235843,2.7060375965253862,11.68417915851173,2.735104967630564,0.9806485204116222,8.460291531133507,6.408558975932672
C0008,Fibroblast,Tumor,4.282403155870975,5.52853318407351,3.4374776983412296,12.731245123367538,4.925694967004398,4.5213454688851495,11.497744499786487
C0009,Cancer,Tumor,4.154753775221001,13.47257788565527,3.4702610634126296,2.7855037191474423,8.75467797353316,7.048528485538527,2.805731962849344
C0010,Fibroblast,Tumor,5.073165834689081,2.7315958736492396,2.8859592332420934,14.846150374428912,3.212295675954511,3.7221148253487346,11.146292481221167
C0011,Fibroblast,Tumor,4.47729859631217,4.134519366440472,2.9432121940639626,11.77981225612661,1.8990893331261458,1.5762231585522941,9.864731749120228
C0012,Cancer,Tumor,4.520497289769122,12.970978388055332,2.9816212107880213,3.136836545545997,10.60017250900011,5.5626616187837445,2.5108644684183554
C0013,Cancer,Tumor,5.320441415189164,13.97061791302417,4.471369869392528,5.592591951197382,8.758198873251947,8.669791580872792,1.5158511056164048
C0014,T_Cell,Tumor,5.609085436841752,3.223996838812051,10.484760801484345,4.186190556373909,0.5,9.693751117062792,7.498784041833106
C0015,Fibroblast,Healthy_Control,4.616233948597311,3.3257881727935272,2.289390775477074,14.699986040693659,2.984046825301294,5.429992515713844,11.043408608197524
C0016,Cancer,Tumor,4.953021756145526,15.602907636190194,3.7689244034020106,3.1513593430964413,9.732902821669859,6.901974617036983,1.8193180387968084
C0017,T_Cell,Tumor,4.938474817857044,1.529723468491171,13.077765862904757,2.246309900859834,3.0753416477181377,7.940313398920825,7.465978136334383
C0018,Cancer,Tumor,4.894358262082577,14.580157794936955,3.269372667649008,3.3728497982304217,9.918899634807445,6.290051857744898,2.0648645519175117
C0019,Fibroblast,Tumor,4.9953750762110065,5.277507121106274,2.6809352864655374,12.631406234661714,2.234813086716757,1.0,11.10266332441302
C0020,Fibroblast,Healthy_Control,5.365151062062714,2.988846161833031,5.2079223461632065,16.96467503367915,2.388614637769627,6.116216386603769,10.46759640213435
C0021,Cancer,Tumor,4.651723922487181,15.262815139725696,3.015146600749796,3.140747175340068,15.083534135310758,6.986195490808231,1.635576245761717
C0022,Cancer,Tumor,4.272991900950463,12.644904740832258,2.8746327961295832,4.0947545853513185,9.142667035778112,6.690636770173676,2.0519760645135343
C0023,Cancer,Tumor,5.888748587394165,12.9479421307179,4.3851332621867725,5.839996131954243,10.374330530613541,8.228906683552474,0.9724756997504733
C0024,Fibroblast,Healthy_Control,5.546316697757705,2.8273116387469424,3.321088288865786,12.296906053954636,3.242949351291776,5.064956688878452,10.225346037579982
C0025,T_Cell,Tumor,4.456543140184237,5.288701340202705,12.861262480127614,1.5483431415531304,2.39996041188814,7.989143959438504,7.933119459087761
C0026,Fibroblast,Healthy_Control,5.0429550127555425,1.9888435887546447,4.010908156635083,13.898344779684816,3.311038006777806,1.0,12.18410703057148
